id,day,pressure,maxtemp,humidity,cloud,sunshine,winddirection,windspeed,temp_diff,humidity_index,windspeed_category,rainfall
39,40,1018.9,21.9,79.0,90.0,0.0,50.0,28.8,4.699999999999999,4.093264248704663,Medium,1
40,41,1017.1,23.4,88.0,83.0,2.3,40.0,29.6,3.799999999999997,4.055299539170507,Medium,1
41,42,1015.8,21.2,75.0,46.0,4.1,20.0,19.0,3.8999999999999986,3.8659793814432994,Low,0
42,43,1013.1,21.4,83.0,88.0,0.0,30.0,20.8,2.0,3.971291866028708,Medium,1
43,44,1015.2,18.9,90.0,90.0,0.0,60.0,34.2,2.0,5.084745762711864,Medium,1
44,45,1017.4,16.1,72.0,43.0,8.8,40.0,27.3,2.5000000000000018,4.645161290322581,Medium,1
45,46,1016.9,17.5,91.0,91.0,0.0,20.0,33.4,2.6999999999999993,5.870967741935484,Medium,1
46,47,1018.1,20.6,79.0,89.0,1.0,20.0,10.7,6.400000000000002,4.906832298136646,Low,1
47,48,1016.5,21.6,95.0,92.0,0.3,40.0,9.1,4.100000000000001,4.947916666666667,Low,1
48,49,1016.8,21.3,75.0,70.0,2.2,50.0,16.5,3.6999999999999993,3.8461538461538463,Low,0
49,50,1023.6,18.8,72.0,40.0,9.5,20.0,9.8,4.0,4.5,Low,1
50,51,1024.4,17.2,79.0,49.0,9.1,20.0,35.3,4.399999999999999,5.064102564102564,Medium,0
51,52,1016.3,22.3,96.0,88.0,0.3,70.0,9.9,4.100000000000001,5.0,Low,1
52,53,1019.6,18.4,93.0,93.0,0.0,70.0,19.0,2.3999999999999986,5.438596491228069,Low,1
53,54,1018.8,22.5,76.0,71.0,6.1,40.0,20.5,3.3999999999999986,3.7810945273631837,Medium,0
54,55,1016.5,20.6,76.0,88.0,0.0,60.0,39.5,3.6000000000000014,4.198895027624309,Medium,1
55,56,1016.8,21.3,95.0,91.0,0.0,40.0,10.2,3.1000000000000014,4.822335025380711,Low,1
56,57,1012.0,20.9,86.0,80.0,1.6,60.0,13.8,1.7999999999999972,4.114832535885168,Low,0
57,58,1020.4,25.9,79.0,70.0,7.8,40.0,24.4,6.099999999999998,3.657407407407407,Medium,1
58,59,1014.4,25.3,86.0,82.0,1.6,40.0,27.3,6.199999999999999,3.926940639269407,Medium,1
59,60,1013.3,22.4,91.0,80.0,0.0,40.0,25.0,2.099999999999998,4.439024390243903,Medium,1
60,61,1018.1,21.3,92.0,88.0,0.0,40.0,28.4,1.4000000000000021,4.532019704433497,Medium,1
61,62,1020.4,18.2,84.0,83.0,2.3,70.0,17.2,4.699999999999999,5.283018867924528,Low,1
62,63,1017.7,20.6,95.0,91.0,0.0,40.0,16.1,3.700000000000003,5.248618784530386,Low,1
63,64,1017.9,21.3,76.0,72.0,7.2,70.0,25.1,2.900000000000002,3.8974358974358974,Medium,0
64,65,1019.4,21.6,69.0,54.0,1.0,50.0,29.6,4.600000000000001,3.520408163265306,Medium,0
65,66,1022.7,14.3,63.0,95.0,0.1,20.0,24.5,4.300000000000001,4.2,Medium,1
66,67,1020.3,18.4,59.0,88.0,0.0,40.0,27.4,3.799999999999999,3.7579617834394905,Medium,1
67,68,1014.2,18.4,97.0,95.0,0.0,40.0,22.9,1.1999999999999993,5.388888888888889,Medium,1
68,69,1015.0,17.8,90.0,51.0,9.5,60.0,24.9,0.9000000000000021,5.625,Medium,0
69,70,1014.6,25.1,72.0,47.0,10.8,30.0,28.8,6.100000000000001,3.6,Medium,0
70,71,1021.4,20.9,75.0,43.0,11.0,20.0,9.1,4.0,4.076086956521739,Low,0
71,72,1015.6,25.2,83.0,80.0,3.4,70.0,16.5,6.099999999999998,3.8073394495412844,Low,0
72,73,1018.5,23.0,89.0,88.0,1.4,20.0,9.1,2.3999999999999986,4.218009478672985,Low,1
73,74,1017.1,26.3,84.0,61.0,7.6,70.0,24.8,7.100000000000001,3.6051502145922747,Medium,1
74,75,1012.0,23.1,90.0,87.0,0.5,40.0,26.0,2.700000000000003,4.166666666666666,Medium,1
75,76,1012.5,26.1,87.0,88.0,3.7,40.0,28.0,4.600000000000001,3.75,Medium,1
76,77,1014.0,25.2,89.0,88.0,0.3,70.0,20.0,2.8999999999999986,3.819742489270386,Low,1
77,78,1014.0,24.9,85.0,88.0,3.2,70.0,31.2,2.5,3.6796536796536796,Medium,1
78,79,1013.5,26.9,87.0,85.0,0.3,50.0,26.1,2.6999999999999993,3.4387351778656123,Medium,1
79,80,1011.4,27.6,77.0,91.0,0.2,40.0,15.4,8.600000000000001,3.68421052631579,Low,1
80,81,1016.8,26.5,83.0,81.0,1.2,80.0,24.4,3.1999999999999993,3.346774193548387,Medium,1
81,82,1019.8,27.6,89.0,84.0,1.6,20.0,18.6,3.6000000000000014,3.5039370078740157,Low,1
82,83,1011.0,26.3,81.0,88.0,0.2,40.0,24.4,3.3000000000000007,3.253012048192771,Medium,1
83,84,1010.7,24.2,86.0,80.0,1.1,70.0,9.8,2.8000000000000007,3.739130434782609,Low,1
84,85,1008.1,28.1,86.0,83.0,4.4,90.0,17.2,4.300000000000001,3.426294820717131,Low,1
85,86,1013.0,27.2,90.0,85.0,5.9,70.0,17.2,3.8000000000000007,3.629032258064516,Low,1
86,87,1013.0,27.8,74.0,88.0,0.4,40.0,16.0,4.100000000000001,2.8682170542635657,Low,1
87,88,1012.2,27.1,86.0,84.0,1.6,70.0,17.5,2.900000000000002,3.3204633204633205,Low,1
88,89,1016.8,25.1,87.0,82.0,2.1,70.0,32.5,2.200000000000003,3.766233766233766,Medium,1
89,90,1010.1,27.2,91.0,88.0,0.3,50.0,19.6,3.8999999999999986,3.6693548387096775,Low,1
90,91,1014.6,28.2,87.0,81.0,4.8,40.0,9.1,5.899999999999999,3.5510204081632653,Low,1
91,92,1013.1,28.2,89.0,81.0,1.2,70.0,31.8,6.199999999999999,3.692946058091286,Medium,1
92,93,1016.0,26.3,90.0,88.0,0.7,30.0,28.5,4.100000000000001,3.765690376569038,Medium,1
93,94,1015.0,26.2,92.0,85.0,0.2,80.0,28.0,4.0,3.6947791164658637,Medium,1
94,95,1011.4,26.8,91.0,80.0,1.0,220.0,34.2,3.1999999999999993,3.7295081967213117,Medium,1
95,96,1009.2,28.2,87.0,86.0,0.3,100.0,12.0,2.8999999999999986,3.258426966292135,Low,0
96,97,1008.6,29.1,93.0,85.0,0.9,220.0,19.0,3.700000000000003,3.496240601503759,Low,1
97,98,1011.4,28.2,84.0,85.0,2.4,90.0,14.7,5.899999999999999,3.3870967741935485,Low,1
98,99,1015.2,25.9,81.0,81.0,3.9,290.0,21.2,3.099999999999998,3.4615384615384617,Medium,1
99,100,1017.1,26.9,78.0,85.0,0.3,70.0,18.2,1.5,3.0232558139534884,Low,1
100,101,1013.0,28.6,87.0,83.0,2.2,70.0,24.0,4.300000000000001,3.258426966292135,Medium,1
101,102,1016.8,29.6,86.0,83.0,3.5,30.0,9.8,6.300000000000001,3.333333333333333,Low,1
102,103,1013.4,30.2,85.0,78.0,2.1,70.0,24.9,5.399999999999999,3.171641791044776,Medium,1
103,104,1015.8,29.6,86.0,83.0,3.9,170.0,24.4,5.900000000000002,3.2452830188679247,Medium,0
104,105,1008.3,28.9,87.0,82.0,1.6,200.0,23.7,4.599999999999998,3.2342007434944238,Medium,1
105,106,1008.9,28.0,89.0,88.0,0.4,70.0,34.2,2.8000000000000007,3.2014388489208634,Medium,1
106,107,1010.3,30.2,84.0,84.0,2.2,230.0,15.1,6.0,3.122676579925651,Low,1
107,108,1008.9,31.2,81.0,88.0,0.6,240.0,28.4,6.5,2.892857142857143,Medium,1
108,109,1011.4,27.6,79.0,80.0,4.5,60.0,12.4,3.200000000000003,3.0980392156862746,Low,1
109,110,1010.1,30.6,89.0,89.0,2.0,130.0,21.4,3.8000000000000007,3.167259786476868,Medium,1
110,111,1010.9,30.6,86.0,84.0,2.3,270.0,18.8,4.300000000000001,2.996515679442509,Low,1
111,112,1009.8,28.7,87.0,84.0,2.9,40.0,14.5,4.800000000000001,3.425196850393701,Low,1
112,113,1011.4,26.2,82.0,83.0,2.1,70.0,11.9,3.8000000000000007,3.4166666666666665,Low,1
113,114,1009.8,28.7,84.0,87.0,0.6,90.0,15.7,3.3999999999999986,3.146067415730337,Low,1
114,115,1008.3,31.0,81.0,83.0,3.0,220.0,9.2,4.100000000000001,2.832167832167832,Low,1
115,116,1008.8,29.7,89.0,88.0,1.3,20.0,28.8,5.5,3.449612403100775,Medium,1
116,117,1012.2,25.8,89.0,81.0,1.2,80.0,39.5,3.400000000000002,3.755274261603376,Medium,1
117,118,1011.1,28.2,82.0,81.0,4.3,40.0,31.8,4.899999999999999,3.215686274509804,Medium,0
118,119,1013.5,27.3,73.0,64.0,6.3,120.0,29.6,4.0,2.8627450980392157,Medium,0
119,120,1007.9,31.2,85.0,90.0,3.9,130.0,23.3,4.800000000000001,3.0249110320284696,Medium,1
120,121,1006.8,31.0,84.0,84.0,2.6,220.0,14.5,4.199999999999999,2.98932384341637,Low,1
121,122,1005.9,29.2,89.0,88.0,1.2,130.0,15.8,3.6999999999999993,3.248175182481752,Low,1
122,123,1009.5,30.9,89.0,88.0,1.4,230.0,15.1,4.599999999999998,3.284132841328413,Low,1
123,124,1010.9,29.8,83.0,85.0,3.5,190.0,14.2,5.5,3.1320754716981134,Low,1
124,125,1012.0,26.4,84.0,82.0,0.3,70.0,14.0,3.1999999999999993,3.3734939759036147,Low,1
125,126,1012.5,27.9,82.0,88.0,1.6,80.0,39.3,3.5,3.1782945736434107,Medium,1
126,127,1008.8,31.0,81.0,80.0,3.7,80.0,20.5,4.800000000000001,2.882562277580071,Medium,1
127,128,1011.4,30.7,89.0,89.0,1.2,200.0,22.5,4.300000000000001,3.1899641577060933,Medium,1
128,129,1009.5,30.1,84.0,70.0,3.3,230.0,15.3,3.8000000000000007,2.906574394463668,Low,1
129,130,1011.2,31.6,81.0,88.0,0.1,200.0,26.1,5.300000000000001,2.822299651567944,Medium,1
130,131,1008.7,31.4,82.0,75.0,9.1,120.0,21.8,5.299999999999997,2.9078014184397163,Medium,0
131,132,1012.4,31.3,81.0,87.0,2.1,20.0,19.2,5.199999999999999,2.8125,Low,1
132,133,1008.3,33.0,75.0,68.0,10.0,230.0,19.3,5.0,2.491694352159468,Low,1
133,134,1005.9,31.0,77.0,59.0,7.5,70.0,9.8,3.6999999999999993,2.673611111111111,Low,0
134,135,1009.3,32.3,86.0,88.0,0.6,220.0,13.4,4.899999999999999,2.847682119205298,Low,1
135,136,1006.6,32.0,89.0,88.0,2.5,200.0,26.4,4.399999999999999,3.0272108843537415,Medium,1
136,137,1008.5,32.2,79.0,79.0,7.0,220.0,16.4,5.200000000000003,2.7241379310344827,Low,1
137,138,1006.6,32.3,84.0,77.0,6.3,220.0,15.4,3.599999999999998,2.8378378378378377,Low,1
138,139,1008.4,32.6,81.0,69.0,7.8,220.0,34.0,6.200000000000003,2.7272727272727275,Medium,1
139,140,1008.0,32.8,89.0,74.0,6.1,230.0,15.8,6.099999999999998,2.976588628762542,Low,1
140,141,1007.6,32.7,76.0,46.0,10.0,220.0,9.4,5.700000000000003,2.6206896551724137,Low,0
141,142,1009.1,32.8,74.0,28.0,11.1,220.0,19.0,6.399999999999999,2.466666666666667,Low,0
142,143,1008.5,30.4,74.0,57.0,9.1,220.0,11.9,5.099999999999998,2.7007299270072993,Low,0
143,144,1005.2,31.5,87.0,83.0,6.9,60.0,14.1,4.600000000000001,3.0742049469964665,Low,1
144,145,1008.7,33.0,78.0,53.0,10.0,220.0,10.9,4.600000000000001,2.5827814569536423,Low,0
145,146,1008.7,32.1,81.0,83.0,3.0,130.0,39.7,4.600000000000001,2.7181208053691273,Medium,1
146,147,1005.6,32.8,74.0,38.0,11.9,200.0,9.1,5.799999999999997,2.5517241379310347,Low,0
147,148,1008.5,33.3,79.0,69.0,10.7,220.0,9.1,5.299999999999997,2.6245847176079735,Low,0
148,149,1010.3,31.2,79.0,49.0,9.8,20.0,14.5,5.399999999999999,2.811387900355872,Low,0
149,150,1006.4,34.0,77.0,23.0,10.4,240.0,15.7,5.600000000000001,2.5581395348837206,Low,0
150,151,1009.8,34.4,74.0,29.0,11.4,200.0,12.6,5.599999999999998,2.458471760797342,Low,1
151,152,1008.9,34.0,81.0,79.0,4.8,220.0,25.0,7.300000000000001,2.6732673267326734,Medium,1
152,153,1006.6,33.2,77.0,29.0,11.0,230.0,14.5,5.200000000000003,2.541254125412541,Low,0
153,154,1009.4,32.0,76.0,44.0,10.7,220.0,39.7,5.0,2.6206896551724137,Medium,0
154,155,1006.8,31.9,81.0,77.0,6.7,210.0,9.1,5.699999999999999,2.7645051194539247,Low,1
155,156,1008.7,32.9,78.0,78.0,9.1,240.0,19.0,5.799999999999997,2.6804123711340204,Low,1
156,157,1005.9,34.7,79.0,88.0,0.4,50.0,15.3,6.200000000000003,2.6245847176079735,Low,1
157,158,1008.1,31.7,81.0,78.0,4.6,230.0,21.9,5.5,2.8027681660899657,Medium,1
158,159,1009.5,30.8,86.0,67.0,5.7,110.0,11.1,3.400000000000002,2.975778546712803,Low,1
159,160,1008.4,32.6,86.0,78.0,2.3,230.0,14.1,4.200000000000003,2.8382838283828384,Low,1
160,161,1008.1,31.7,84.0,63.0,8.9,130.0,14.0,4.199999999999999,2.847457627118644,Low,0
161,162,1007.5,32.0,84.0,88.0,1.5,220.0,29.2,3.0,2.7906976744186047,Medium,1
162,163,1006.6,31.0,79.0,77.0,4.6,220.0,13.9,3.8999999999999986,2.696245733788396,Low,1
163,164,1006.9,32.2,82.0,78.0,6.6,220.0,14.5,4.600000000000001,2.8275862068965516,Low,1
164,165,1009.9,32.6,79.0,73.0,9.4,210.0,31.9,5.200000000000003,2.65993265993266,Medium,1
165,166,1007.9,33.0,78.0,67.0,10.6,220.0,14.5,5.199999999999999,2.5913621262458473,Low,1
166,167,1008.4,31.2,90.0,77.0,2.7,130.0,9.1,4.0,3.103448275862069,Low,1
167,168,1007.2,33.2,85.0,88.0,2.4,240.0,25.1,6.300000000000004,2.8716216216216215,Medium,1
168,169,1002.5,33.5,89.0,88.0,2.0,220.0,10.9,5.699999999999999,2.966666666666667,Low,1
169,170,1006.3,29.1,89.0,88.0,0.5,230.0,20.9,2.5,3.1899641577060933,Medium,1
170,171,1003.8,33.1,80.0,83.0,0.5,220.0,27.9,6.0,2.6578073089700998,Medium,1
171,172,1002.8,33.7,89.0,78.0,2.1,220.0,9.2,7.600000000000001,2.966666666666667,Low,1
172,173,1009.9,35.2,78.0,44.0,10.1,240.0,12.4,6.700000000000003,2.6,Low,1
173,174,1006.8,31.6,86.0,86.0,1.0,80.0,31.2,4.300000000000001,2.945205479452055,Medium,1
174,175,1009.3,31.2,78.0,47.0,9.1,200.0,17.2,5.0,2.775800711743772,Low,0
175,176,1007.5,32.8,79.0,72.0,7.1,220.0,30.3,4.799999999999997,2.6245847176079735,Medium,0
176,177,1008.6,32.9,91.0,87.0,0.2,230.0,26.3,5.5,3.063973063973064,Medium,1
177,178,1008.4,32.0,82.0,84.0,6.4,230.0,16.9,4.5,2.7891156462585034,Low,1
178,179,1007.9,30.6,82.0,84.0,1.3,200.0,14.5,3.900000000000002,2.887323943661972,Low,1
179,180,1006.8,31.2,80.0,88.0,1.2,190.0,26.4,5.099999999999998,2.7586206896551726,Medium,1
180,181,1008.4,29.0,84.0,88.0,0.5,190.0,19.8,2.1999999999999993,2.978723404255319,Low,1
181,182,1010.6,31.1,84.0,84.0,4.4,190.0,16.5,4.400000000000002,2.906574394463668,Low,1
182,183,1008.8,30.3,79.0,88.0,0.3,230.0,14.5,3.5,2.7816901408450705,Low,1
183,184,1006.7,31.2,79.0,78.0,4.4,220.0,16.3,4.399999999999999,2.7816901408450705,Low,1
184,185,1003.8,30.8,81.0,84.0,2.0,220.0,11.9,4.300000000000001,2.903225806451613,Low,1
185,186,1008.5,32.0,77.0,72.0,7.7,220.0,10.0,3.6000000000000014,2.541254125412541,Low,1
186,187,1008.1,31.7,86.0,82.0,2.2,220.0,20.0,4.800000000000001,2.975778546712803,Low,1
187,188,1008.9,31.2,87.0,83.0,3.0,220.0,14.3,4.399999999999999,3.0851063829787235,Low,1
188,189,1008.1,33.0,84.0,69.0,0.4,220.0,14.3,4.600000000000001,2.8,Low,0
189,190,1008.4,33.0,81.0,51.0,6.9,220.0,18.0,4.899999999999999,2.7,Low,1
190,191,1008.9,32.4,79.0,67.0,7.0,220.0,10.9,4.399999999999999,2.607260726072607,Low,1
191,192,1006.9,33.3,79.0,88.0,3.0,200.0,20.5,6.599999999999998,2.607260726072607,Medium,1
192,193,1006.8,33.0,76.0,38.0,10.9,220.0,15.8,5.0,2.5082508250825084,Low,0
193,194,1008.1,33.9,84.0,61.0,9.1,160.0,9.1,5.899999999999999,2.8,Low,1
194,195,1009.8,32.5,75.0,40.0,11.2,270.0,9.1,4.199999999999999,2.4752475247524752,Low,0
195,196,1005.9,34.1,78.0,41.0,8.3,10.0,13.6,6.0,2.5827814569536423,Low,0
196,197,1005.4,33.3,81.0,47.0,8.2,220.0,12.8,6.9999999999999964,2.7,Low,1
197,198,1006.5,32.7,74.0,61.0,10.0,200.0,23.5,4.400000000000002,2.442244224422442,Medium,0
198,199,1006.7,33.5,79.0,78.0,5.5,230.0,9.1,4.800000000000001,2.607260726072607,Low,0
199,200,1001.0,32.9,78.0,38.0,11.1,230.0,16.3,4.699999999999999,2.5827814569536423,Low,1
200,201,1007.9,32.0,81.0,78.0,9.1,230.0,25.5,3.6000000000000014,2.6732673267326734,Medium,1
201,202,1011.4,31.2,80.0,43.0,9.5,220.0,9.8,4.899999999999999,2.8268551236749118,Low,0
202,203,1008.4,31.8,81.0,78.0,2.2,200.0,11.2,5.100000000000001,2.8125,Low,1
203,204,1008.1,32.4,84.0,83.0,6.7,190.0,15.3,5.899999999999999,2.896551724137931,Low,1
204,205,1008.9,30.6,81.0,88.0,0.3,220.0,11.3,4.0,2.852112676056338,Low,1
205,206,1008.9,29.4,89.0,83.0,0.3,180.0,10.0,2.799999999999997,3.2720588235294117,Low,1
206,207,1004.8,31.1,78.0,79.0,3.8,210.0,13.8,4.400000000000002,2.7177700348432055,Low,1
207,208,1004.2,31.2,89.0,84.0,0.3,220.0,17.3,4.699999999999999,3.1785714285714284,Low,1
208,209,1008.9,32.9,83.0,82.0,3.5,280.0,9.2,6.5,2.804054054054054,Low,1
209,210,1008.1,30.6,82.0,87.0,2.0,200.0,20.5,4.300000000000001,2.867132867132867,Medium,1
210,211,1008.1,32.9,81.0,78.0,5.0,250.0,21.9,4.299999999999997,2.709030100334448,Medium,1
211,212,1006.5,30.6,84.0,88.0,2.1,190.0,21.9,5.700000000000003,3.0656934306569346,Medium,1
212,213,1010.5,30.6,85.0,82.0,2.9,300.0,21.9,4.0,3.0035335689045937,Medium,1
213,214,1008.4,32.7,74.0,43.0,10.0,300.0,13.8,4.600000000000001,2.442244224422442,Low,0
214,215,1007.9,31.2,82.0,84.0,2.2,220.0,24.5,4.300000000000001,2.9181494661921707,Medium,1
215,216,1008.3,33.0,75.0,43.0,9.3,220.0,23.2,5.600000000000001,2.5,Medium,0
216,217,1007.5,30.8,75.0,78.0,3.5,90.0,13.9,5.300000000000001,2.7573529411764706,Low,1
217,218,1005.6,31.6,81.0,84.0,2.5,220.0,23.7,5.200000000000003,2.862190812720848,Medium,1
218,219,1008.5,31.5,74.0,75.0,7.6,230.0,10.9,5.800000000000001,2.6334519572953736,Low,1
219,220,1007.8,30.1,84.0,83.0,2.5,230.0,20.3,4.0,2.98932384341637,Medium,0
220,221,1007.8,32.9,89.0,88.0,1.1,220.0,13.2,6.399999999999999,3.0067567567567566,Low,1
221,222,1005.9,28.6,90.0,88.0,0.5,230.0,19.2,3.200000000000003,3.3582089552238803,Low,1
222,223,1008.5,29.1,85.0,88.0,0.2,230.0,15.3,1.7000000000000028,3.0035335689045937,Low,1
223,224,1005.9,31.8,79.0,67.0,6.7,240.0,9.1,5.100000000000001,2.7430555555555554,Low,1
224,225,1010.7,29.6,87.0,84.0,6.0,220.0,9.1,5.100000000000001,3.2342007434944238,Low,1
225,226,1012.0,29.6,76.0,50.0,8.8,60.0,14.3,3.8000000000000007,2.8044280442804426,Low,0
226,227,1012.0,29.4,81.0,86.0,2.4,40.0,13.8,4.0,2.924187725631769,Low,1
227,228,1011.6,33.7,85.0,84.0,5.8,230.0,11.0,6.800000000000004,2.9209621993127146,Low,1
228,229,1008.5,30.6,91.0,81.0,3.7,220.0,23.2,4.900000000000002,3.273381294964029,Medium,1
229,230,1007.3,31.8,85.0,88.0,0.6,230.0,11.7,7.300000000000001,3.0249110320284696,Low,1
230,231,1011.4,30.2,76.0,54.0,10.0,50.0,13.3,3.6999999999999993,2.7338129496402876,Low,0
231,232,1010.6,30.8,84.0,58.0,9.9,100.0,29.0,4.699999999999999,2.98932384341637,Medium,0
232,233,1009.2,29.2,75.0,62.0,6.9,10.0,12.1,3.6999999999999993,2.798507462686567,Low,1
233,234,1010.9,28.6,89.0,87.0,0.3,40.0,11.7,3.200000000000003,3.4099616858237547,Low,1
234,235,1012.2,28.1,86.0,83.0,3.6,80.0,23.7,3.6000000000000014,3.333333333333333,Medium,1
235,236,1011.4,31.4,75.0,56.0,10.0,70.0,32.5,4.599999999999998,2.6690391459074734,Medium,0
236,237,1009.8,32.0,75.0,80.0,8.0,220.0,9.1,6.699999999999999,2.717391304347826,Low,0
237,238,1013.0,30.4,83.0,79.0,2.0,220.0,29.8,4.0,2.8919860627177703,Medium,1
238,239,1009.1,31.8,89.0,80.0,2.0,120.0,14.5,5.0,3.1785714285714284,Low,1
239,240,1013.6,28.1,79.0,51.0,2.0,80.0,17.5,3.0,3.0384615384615383,Low,0
240,241,1014.8,32.8,78.0,44.0,8.4,130.0,34.2,6.099999999999998,2.775800711743772,Medium,0
241,242,1014.4,31.3,82.0,88.0,0.2,230.0,22.9,5.300000000000001,2.9181494661921707,Medium,1
242,243,1013.7,28.7,79.0,60.0,9.1,60.0,17.2,3.3999999999999986,2.841726618705036,Low,0
243,244,1013.3,29.3,83.0,84.0,3.1,110.0,9.6,4.300000000000001,2.9749103942652333,Low,0
244,245,1007.9,30.8,87.0,87.0,4.1,230.0,25.9,4.5,3.0419580419580416,Medium,0
245,246,1008.1,31.1,79.0,62.0,7.7,60.0,12.5,4.900000000000002,2.811387900355872,Low,0
246,247,1007.1,31.6,84.0,82.0,7.6,160.0,16.5,5.600000000000001,2.857142857142857,Low,1
247,248,1005.8,30.3,77.0,86.0,1.2,220.0,11.7,4.400000000000002,2.8,Low,0
248,249,1005.7,31.7,82.0,86.0,1.8,190.0,21.6,4.800000000000001,2.887323943661972,Medium,1
249,250,1007.6,30.6,78.0,47.0,10.0,220.0,9.2,4.200000000000003,2.8467153284671536,Low,0
250,251,1015.0,29.8,76.0,78.0,6.2,10.0,11.0,3.3000000000000007,2.7240143369175627,Low,1
251,252,1014.8,31.2,86.0,77.0,3.8,30.0,12.6,4.399999999999999,3.028169014084507,Low,1
252,253,1013.0,31.1,75.0,54.0,10.0,60.0,14.5,5.300000000000001,2.595155709342561,Low,0
253,254,1007.7,32.0,75.0,78.0,2.3,10.0,17.2,5.300000000000001,2.5773195876288657,Low,1
254,255,1008.2,32.3,78.0,69.0,6.8,20.0,11.8,4.399999999999999,2.635135135135135,Low,1
255,256,1010.2,29.2,79.0,67.0,4.5,80.0,39.7,3.5,2.925925925925926,Medium,1
