cloud,sunshine,maxtemp cloud,humidity,sunshine windspeed,sunshine winddirection,id sunshine,day sunshine,day,id,cloud temp_diff,temp_diff,maxtemp,winddirection,rainfall
88.0,0.0,2094.4,84.0,0.0,0.0,0.0,0.0,25.0,24.0,299.20000000000016,3.400000000000002,23.8,70.0,1
78.0,10.2,1973.4,76.0,104.04,816.0,254.99999999999997,265.2,26.0,25.0,335.40000000000003,4.300000000000001,25.3,80.0,1
95.0,0.0,2261.0,92.0,0.0,0.0,0.0,0.0,27.0,26.0,380.0,4.0,23.8,40.0,1
80.0,2.6,1736.0,80.0,37.7,130.0,70.2,72.8,28.0,27.0,184.00000000000009,2.3000000000000007,21.7,50.0,1
79.0,0.6,1809.1,86.0,12.839999999999998,30.0,16.8,17.4,29.0,28.0,292.29999999999995,3.6999999999999993,22.9,50.0,1
49.0,7.7,1131.9,74.0,110.11,308.0,223.3,231.0,30.0,29.0,191.1000000000001,3.900000000000002,23.1,40.0,0
69.0,7.7,1469.7,75.0,270.27000000000004,539.0,231.0,238.7,31.0,30.0,138.0,2.0,21.3,70.0,1
69.0,1.1,1600.8,82.0,22.55,44.0,34.1,35.2,32.0,31.0,213.89999999999984,3.099999999999998,23.2,40.0,0
56.0,2.9,1192.8,59.0,61.77,116.0,92.8,95.7,33.0,32.0,224.0,4.0,21.3,40.0,0
95.0,4.3,2052.0,90.0,151.79,301.0,141.9,146.2,34.0,33.0,399.0000000000003,4.200000000000003,21.6,70.0,1
88.0,0.0,1892.0,91.0,0.0,0.0,0.0,0.0,35.0,34.0,255.19999999999987,2.8999999999999986,21.5,50.0,1
89.0,0.0,1619.8,78.0,0.0,0.0,0.0,0.0,36.0,35.0,169.09999999999988,1.8999999999999984,18.2,50.0,0
88.0,0.0,2015.2,79.0,0.0,0.0,0.0,0.0,37.0,36.0,255.19999999999987,2.8999999999999986,22.9,40.0,1
44.0,9.5,928.4,74.0,253.65,190.0,351.5,361.0,38.0,37.0,145.20000000000005,3.3000000000000007,21.1,20.0,0
43.0,9.2,877.1999999999999,75.0,109.48,552.0,349.59999999999997,358.79999999999995,39.0,38.0,240.7999999999999,5.599999999999998,20.4,60.0,0
90.0,0.0,1971.0,79.0,0.0,0.0,0.0,0.0,40.0,39.0,422.99999999999994,4.699999999999999,21.9,50.0,1
83.0,2.3,1942.2,88.0,68.08,92.0,92.0,94.3,41.0,40.0,315.39999999999975,3.799999999999997,23.4,40.0,1
46.0,4.1,975.2,75.0,77.89999999999999,82.0,168.1,172.2,42.0,41.0,179.39999999999992,3.8999999999999986,21.2,20.0,0
88.0,0.0,1883.2,83.0,0.0,0.0,0.0,0.0,43.0,42.0,176.0,2.0,21.4,30.0,1
90.0,0.0,1700.9999999999998,90.0,0.0,0.0,0.0,0.0,44.0,43.0,180.0,2.0,18.9,60.0,1
43.0,8.8,692.3000000000001,72.0,240.24000000000004,352.0,387.2000000000001,396.00000000000006,45.0,44.0,107.50000000000009,2.5000000000000018,16.1,40.0,1
91.0,0.0,1592.5,91.0,0.0,0.0,0.0,0.0,46.0,45.0,245.69999999999993,2.6999999999999993,17.5,20.0,1
89.0,1.0,1833.4,79.0,10.7,20.0,46.0,47.0,47.0,46.0,569.6000000000001,6.400000000000002,20.6,20.0,1
92.0,0.3,1987.2,95.0,2.07,12.0,14.1,14.4,48.0,47.0,377.20000000000016,4.100000000000001,21.6,40.0,1
70.0,2.2,1491.0,75.0,36.3,110.0,105.6,107.8,49.0,48.0,258.99999999999994,3.6999999999999993,21.3,50.0,0
40.0,9.5,752.0,72.0,93.1,190.0,465.5,475.0,50.0,49.0,160.0,4.0,18.8,20.0,1
49.0,9.1,842.8,79.0,321.22999999999996,182.0,455.0,464.1,51.0,50.0,215.5999999999999,4.399999999999999,17.2,20.0,0
88.0,0.3,1962.4,96.0,2.97,21.0,15.3,15.6,52.0,51.0,360.8000000000001,4.100000000000001,22.3,70.0,1
93.0,0.0,1711.1999999999998,93.0,0.0,0.0,0.0,0.0,53.0,52.0,223.19999999999987,2.3999999999999986,18.4,70.0,1
71.0,6.1,1597.5,76.0,125.05,244.0,323.29999999999995,329.4,54.0,53.0,241.3999999999999,3.3999999999999986,22.5,40.0,0
88.0,0.0,1812.8,76.0,0.0,0.0,0.0,0.0,55.0,54.0,316.8000000000001,3.6000000000000014,20.6,60.0,1
91.0,0.0,1938.3,95.0,0.0,0.0,0.0,0.0,56.0,55.0,282.10000000000014,3.1000000000000014,21.3,40.0,1
80.0,1.6,1672.0,86.0,22.08,96.0,89.60000000000001,91.2,57.0,56.0,143.99999999999977,1.7999999999999972,20.9,60.0,0
70.0,7.8,1813.0,79.0,190.32,312.0,444.6,452.4,58.0,57.0,426.99999999999983,6.099999999999998,25.9,40.0,1
82.0,1.6,2074.6,86.0,43.68000000000001,64.0,92.8,94.4,59.0,58.0,508.3999999999999,6.199999999999999,25.3,40.0,1
80.0,0.0,1792.0,91.0,0.0,0.0,0.0,0.0,60.0,59.0,167.99999999999983,2.099999999999998,22.4,40.0,1
88.0,0.0,1874.4,92.0,0.0,0.0,0.0,0.0,61.0,60.0,123.2000000000002,1.400000000000002,21.3,40.0,1
83.0,2.3,1510.6,84.0,39.559999999999995,161.0,140.29999999999998,142.6,62.0,61.0,390.1,4.699999999999999,18.2,70.0,1
91.0,0.0,1874.6,95.0,0.0,0.0,0.0,0.0,63.0,62.0,336.7000000000003,3.700000000000003,20.6,40.0,1
72.0,7.2,1533.6,76.0,180.72000000000003,504.0,453.6,460.8,64.0,63.0,208.80000000000015,2.900000000000002,21.3,70.0,0
54.0,1.0,1166.4,69.0,29.6,50.0,64.0,65.0,65.0,64.0,248.4000000000001,4.600000000000001,21.6,50.0,0
95.0,0.1,1358.5,63.0,2.45,2.0,6.5,6.6000000000000005,66.0,65.0,408.50000000000006,4.300000000000001,14.3,20.0,1
88.0,0.0,1619.1999999999998,59.0,0.0,0.0,0.0,0.0,67.0,66.0,334.3999999999999,3.799999999999999,18.4,40.0,1
95.0,0.0,1747.9999999999998,97.0,0.0,0.0,0.0,0.0,68.0,67.0,113.99999999999991,1.1999999999999993,18.4,40.0,1
51.0,9.5,907.8,90.0,236.55,570.0,646.0,655.5,69.0,68.0,45.900000000000105,0.9000000000000021,17.8,60.0,0
47.0,10.8,1179.7,72.0,311.04,324.0,745.2,756.0,70.0,69.0,286.70000000000005,6.100000000000001,25.1,30.0,0
43.0,11.0,898.6999999999999,75.0,81.4,220.0,770.0,781.0,71.0,70.0,172.0,4.0,20.9,20.0,0
80.0,3.4,2016.0,83.0,56.1,238.0,241.4,244.8,72.0,71.0,487.99999999999983,6.099999999999998,25.2,70.0,0
88.0,1.4,2024.0,89.0,12.46,28.0,100.8,102.2,73.0,72.0,211.19999999999987,2.3999999999999986,23.0,20.0,1
61.0,7.6,1604.3,84.0,188.48,532.0,554.8,562.4,74.0,73.0,433.1000000000001,7.100000000000001,26.3,70.0,1
87.0,0.5,2009.7,90.0,13.0,20.0,37.0,37.5,75.0,74.0,234.90000000000023,2.700000000000003,23.1,40.0,1
88.0,3.7,2296.8,87.0,103.6,148.0,277.5,281.2,76.0,75.0,404.8000000000001,4.600000000000001,26.1,40.0,1
88.0,0.3,2217.6,89.0,6.0,21.0,22.8,23.1,77.0,76.0,255.19999999999987,2.8999999999999986,25.2,70.0,1
88.0,3.2,2191.2,85.0,99.84,224.0,246.4,249.6,78.0,77.0,220.0,2.5,24.9,70.0,1
85.0,0.3,2286.5,87.0,7.83,15.0,23.4,23.7,79.0,78.0,229.49999999999991,2.6999999999999993,26.9,50.0,1
91.0,0.2,2511.6,77.0,3.08,8.0,15.8,16.0,80.0,79.0,782.6000000000001,8.600000000000001,27.6,40.0,1
81.0,1.2,2146.5,83.0,29.28,96.0,96.0,97.2,81.0,80.0,259.19999999999993,3.1999999999999993,26.5,80.0,1
84.0,1.6,2318.4,89.0,29.760000000000005,32.0,129.6,131.20000000000002,82.0,81.0,302.4000000000001,3.6000000000000014,27.6,20.0,1
88.0,0.2,2314.4,81.0,4.88,8.0,16.400000000000002,16.6,83.0,82.0,290.4000000000001,3.3000000000000007,26.3,40.0,1
80.0,1.1,1936.0,86.0,10.78,77.0,91.3,92.4,84.0,83.0,224.00000000000009,2.8000000000000007,24.2,70.0,1
83.0,4.4,2332.3,86.0,75.68,396.00000000000006,369.6,374.00000000000006,85.0,84.0,356.90000000000003,4.300000000000001,28.1,90.0,1
85.0,5.9,2312.0,90.0,101.48,413.0,501.50000000000006,507.4,86.0,85.0,323.00000000000006,3.8000000000000007,27.2,70.0,1
88.0,0.4,2446.4,74.0,6.4,16.0,34.4,34.800000000000004,87.0,86.0,360.8000000000001,4.100000000000001,27.8,40.0,1
84.0,1.6,2276.4,86.0,28.0,112.0,139.20000000000002,140.8,88.0,87.0,243.6000000000002,2.900000000000002,27.1,70.0,1
82.0,2.1,2058.2000000000003,87.0,68.25,147.0,184.8,186.9,89.0,88.0,180.40000000000023,2.200000000000003,25.1,70.0,1
88.0,0.3,2393.6,91.0,5.88,15.0,26.7,27.0,90.0,89.0,343.1999999999999,3.8999999999999986,27.2,50.0,1
81.0,4.8,2284.2,87.0,42.72,192.0,432.0,436.8,91.0,90.0,477.89999999999986,5.899999999999999,28.2,40.0,1
81.0,1.2,2284.2,89.0,38.16,84.0,109.2,110.4,92.0,91.0,502.19999999999993,6.199999999999999,28.2,70.0,1
88.0,0.7,2314.4,90.0,19.95,21.0,64.39999999999999,65.1,93.0,92.0,360.8000000000001,4.100000000000001,26.3,30.0,1
85.0,0.2,2227.0,92.0,5.6000000000000005,16.0,18.6,18.8,94.0,93.0,340.0,4.0,26.2,80.0,1
80.0,1.0,2144.0,91.0,34.2,220.0,94.0,95.0,95.0,94.0,255.99999999999991,3.1999999999999993,26.8,220.0,1
86.0,0.3,2425.2,87.0,3.5999999999999996,30.0,28.5,28.799999999999997,96.0,95.0,249.39999999999984,2.8999999999999986,28.2,100.0,0
85.0,0.9,2473.5,93.0,17.1,198.0,86.4,87.3,97.0,96.0,314.5000000000002,3.700000000000003,29.1,220.0,1
85.0,2.4,2397.0,84.0,35.279999999999994,216.0,232.8,235.2,98.0,97.0,501.4999999999999,5.899999999999999,28.2,90.0,1
81.0,3.9,2097.9,81.0,82.67999999999999,1131.0,382.2,386.1,99.0,98.0,251.09999999999985,3.099999999999998,25.9,290.0,1
85.0,0.3,2286.5,78.0,5.46,21.0,29.7,30.0,100.0,99.0,127.5,1.5,26.9,70.0,1
83.0,2.2,2373.8,87.0,52.8,154.0,220.00000000000003,222.2,101.0,100.0,356.90000000000003,4.300000000000001,28.6,70.0,1
83.0,3.5,2456.8,86.0,34.300000000000004,105.0,353.5,357.0,102.0,101.0,522.9000000000001,6.300000000000001,29.6,30.0,1
78.0,2.1,2355.6,85.0,52.29,147.0,214.2,216.3,103.0,102.0,421.1999999999999,5.399999999999999,30.2,70.0,1
83.0,3.9,2456.8,86.0,95.16,663.0,401.7,405.6,104.0,103.0,489.70000000000016,5.900000000000002,29.6,170.0,0
82.0,1.6,2369.7999999999997,87.0,37.92,320.0,166.4,168.0,105.0,104.0,377.1999999999998,4.599999999999998,28.9,200.0,1
88.0,0.4,2464.0,89.0,13.68,28.0,42.0,42.400000000000006,106.0,105.0,246.4000000000001,2.8000000000000007,28.0,70.0,1
84.0,2.2,2536.7999999999997,84.0,33.22,506.00000000000006,233.2,235.4,107.0,106.0,504.0,6.0,30.2,230.0,1
88.0,0.6,2745.6,81.0,17.04,144.0,64.2,64.8,108.0,107.0,572.0,6.5,31.2,240.0,1
80.0,4.5,2208.0,79.0,55.8,270.0,486.0,490.5,109.0,108.0,256.0000000000002,3.200000000000003,27.6,60.0,1
89.0,2.0,2723.4,89.0,42.8,260.0,218.0,220.0,110.0,109.0,338.20000000000005,3.8000000000000007,30.6,130.0,1
84.0,2.3,2570.4,86.0,43.239999999999995,621.0,252.99999999999997,255.3,111.0,110.0,361.2000000000001,4.300000000000001,30.6,270.0,1
84.0,2.9,2410.7999999999997,87.0,42.05,116.0,321.9,324.8,112.0,111.0,403.2000000000001,4.800000000000001,28.7,40.0,1
83.0,2.1,2174.6,82.0,24.99,147.0,235.2,237.3,113.0,112.0,315.40000000000003,3.8000000000000007,26.2,70.0,1
87.0,0.6,2496.9,84.0,9.42,54.0,67.8,68.39999999999999,114.0,113.0,295.7999999999999,3.3999999999999986,28.7,90.0,1
83.0,3.0,2573.0,81.0,27.6,660.0,342.0,345.0,115.0,114.0,340.3000000000001,4.100000000000001,31.0,220.0,1
88.0,1.3,2613.6,89.0,37.440000000000005,26.0,149.5,150.8,116.0,115.0,484.0,5.5,29.7,20.0,1
81.0,1.2,2089.8,89.0,47.4,96.0,139.2,140.4,117.0,116.0,275.40000000000015,3.400000000000002,25.8,80.0,1
81.0,4.3,2284.2,82.0,136.74,172.0,503.1,507.4,118.0,117.0,396.89999999999986,4.899999999999999,28.2,40.0,0
64.0,6.3,1747.2,73.0,186.48,756.0,743.4,749.6999999999999,119.0,118.0,256.0,4.0,27.3,120.0,0
90.0,3.9,2808.0,85.0,90.87,507.0,464.1,468.0,120.0,119.0,432.00000000000006,4.800000000000001,31.2,130.0,1
84.0,2.6,2604.0,84.0,37.7,572.0,312.0,314.6,121.0,120.0,352.79999999999995,4.199999999999999,31.0,220.0,1
88.0,1.2,2569.6,89.0,18.96,156.0,145.2,146.4,122.0,121.0,325.5999999999999,3.6999999999999993,29.2,130.0,1
88.0,1.4,2719.2,89.0,21.139999999999997,322.0,170.79999999999998,172.2,123.0,122.0,404.79999999999984,4.599999999999998,30.9,230.0,1
85.0,3.5,2533.0,83.0,49.7,665.0,430.5,434.0,124.0,123.0,467.5,5.5,29.8,190.0,1
82.0,0.3,2164.7999999999997,84.0,4.2,21.0,37.2,37.5,125.0,124.0,262.3999999999999,3.1999999999999993,26.4,70.0,1
88.0,1.6,2455.2,82.0,62.879999999999995,128.0,200.0,201.6,126.0,125.0,308.0,3.5,27.9,80.0,1
80.0,3.7,2480.0,81.0,75.85000000000001,296.0,466.2000000000001,469.9,127.0,126.0,384.00000000000006,4.800000000000001,31.0,80.0,1
89.0,1.2,2732.2999999999997,89.0,27.0,240.0,152.4,153.6,128.0,127.0,382.7000000000001,4.300000000000001,30.7,200.0,1
70.0,3.3,2107.0,84.0,50.49,759.0,422.4,425.7,129.0,128.0,266.00000000000006,3.8000000000000007,30.1,230.0,1
88.0,0.1,2780.8,81.0,2.6100000000000003,20.0,12.9,13.0,130.0,129.0,466.4000000000001,5.300000000000001,31.6,200.0,1
75.0,9.1,2355.0,82.0,198.38,1092.0,1183.0,1192.1,131.0,130.0,397.4999999999998,5.299999999999997,31.4,120.0,0
87.0,2.1,2723.1,81.0,40.32,42.0,275.1,277.2,132.0,131.0,452.3999999999999,5.199999999999999,31.3,20.0,1
68.0,10.0,2244.0,75.0,193.0,2300.0,1320.0,1330.0,133.0,132.0,340.0,5.0,33.0,230.0,1
59.0,7.5,1829.0,77.0,73.5,525.0,997.5,1005.0,134.0,133.0,218.29999999999995,3.6999999999999993,31.0,70.0,0
88.0,0.6,2842.3999999999996,86.0,8.04,132.0,80.39999999999999,81.0,135.0,134.0,431.1999999999999,4.899999999999999,32.3,220.0,1
88.0,2.5,2816.0,89.0,66.0,500.0,337.5,340.0,136.0,135.0,387.1999999999999,4.399999999999999,32.0,200.0,1
79.0,7.0,2543.8,79.0,114.79999999999998,1540.0,952.0,959.0,137.0,136.0,410.80000000000024,5.200000000000003,32.2,220.0,1
77.0,6.3,2487.1,84.0,97.02,1386.0,863.1,869.4,138.0,137.0,277.1999999999998,3.599999999999998,32.3,220.0,1
69.0,7.8,2249.4,81.0,265.2,1716.0,1076.4,1084.2,139.0,138.0,427.8000000000002,6.200000000000003,32.6,220.0,1
74.0,6.1,2427.2,89.0,96.38,1403.0,847.9,854.0,140.0,139.0,451.39999999999986,6.099999999999998,32.8,230.0,1
46.0,10.0,1504.2,76.0,94.0,2200.0,1400.0,1410.0,141.0,140.0,262.20000000000016,5.700000000000003,32.7,220.0,0
28.0,11.1,918.4,74.0,210.9,2442.0,1565.1,1576.2,142.0,141.0,179.19999999999996,6.399999999999999,32.8,220.0,0
57.0,9.1,1732.8,74.0,108.29,2002.0,1292.2,1301.3,143.0,142.0,290.6999999999999,5.099999999999998,30.4,220.0,0
83.0,6.9,2614.5,87.0,97.29,414.0,986.7,993.6,144.0,143.0,381.8000000000001,4.600000000000001,31.5,60.0,1
53.0,10.0,1749.0,78.0,109.0,2200.0,1440.0,1450.0,145.0,144.0,243.80000000000007,4.600000000000001,33.0,220.0,0
83.0,3.0,2664.3,81.0,151.8,390.0,435.0,438.0,146.0,145.0,381.8000000000001,4.600000000000001,32.1,130.0,1
38.0,11.9,1246.4,74.0,98.77,2380.0,1737.4,1749.3,147.0,146.0,220.3999999999999,5.799999999999997,32.8,200.0,0
69.0,10.7,2297.7,79.0,84.53,2354.0,1572.9,1583.6,148.0,147.0,365.6999999999998,5.299999999999997,33.3,220.0,0
49.0,9.8,1528.8,79.0,142.10000000000002,196.0,1450.4,1460.2,149.0,148.0,264.5999999999999,5.399999999999999,31.2,20.0,0
23.0,10.4,782.0,77.0,163.28,2496.0,1549.6,1560.0,150.0,149.0,128.80000000000004,5.600000000000001,34.0,240.0,0
29.0,11.4,997.6,74.0,143.64,2280.0,1710.0,1721.4,151.0,150.0,162.39999999999995,5.599999999999998,34.4,200.0,1
79.0,4.8,2686.0,81.0,120.0,1056.0,724.8,729.6,152.0,151.0,576.7,7.300000000000001,34.0,220.0,1
29.0,11.0,962.8,77.0,159.5,2530.0,1672.0,1683.0,153.0,152.0,150.80000000000007,5.200000000000003,33.2,230.0,0
44.0,10.7,1408.0,76.0,436.55999999999995,2354.0,1637.1,1647.8,154.0,153.0,220.0,5.0,32.0,220.0,0
77.0,6.7,2456.2999999999997,81.0,52.93000000000001,1407.0,1031.8,1038.5,155.0,154.0,438.8999999999999,5.699999999999999,31.9,210.0,1
78.0,9.1,2566.2,78.0,172.9,2184.0,1410.5,1419.6,156.0,155.0,452.39999999999975,5.799999999999997,32.9,240.0,1
88.0,0.4,3053.6000000000004,79.0,6.120000000000001,20.0,62.400000000000006,62.8,157.0,156.0,545.6000000000003,6.200000000000003,34.7,50.0,1
78.0,4.6,2472.6,81.0,100.73999999999998,1058.0,722.1999999999999,726.8,158.0,157.0,429.0,5.5,31.7,230.0,1
67.0,5.7,2063.6,86.0,63.27,627.0,900.6,906.3,159.0,158.0,227.80000000000015,3.400000000000002,30.8,110.0,1
78.0,2.3,2542.8,86.0,32.43,529.0,365.7,368.0,160.0,159.0,327.60000000000025,4.200000000000003,32.6,230.0,1
63.0,8.9,1997.1,84.0,124.6,1157.0,1424.0,1432.9,161.0,160.0,264.59999999999997,4.199999999999999,31.7,130.0,0
88.0,1.5,2816.0,84.0,43.8,330.0,241.5,243.0,162.0,161.0,264.0,3.0,32.0,220.0,1
77.0,4.6,2387.0,79.0,63.94,1012.0,745.1999999999999,749.8,163.0,162.0,300.2999999999999,3.8999999999999986,31.0,220.0,1
78.0,6.6,2511.6000000000004,82.0,95.7,1452.0,1075.8,1082.4,164.0,163.0,358.8000000000001,4.600000000000001,32.2,220.0,1
73.0,9.4,2379.8,79.0,299.86,1974.0,1541.6,1551.0,165.0,164.0,379.6000000000002,5.200000000000003,32.6,210.0,1
67.0,10.6,2211.0,78.0,153.7,2332.0,1749.0,1759.6,166.0,165.0,348.4,5.199999999999999,33.0,220.0,1
77.0,2.7,2402.4,90.0,24.57,351.0,448.2000000000001,450.9,167.0,166.0,308.0,4.0,31.2,130.0,1
88.0,2.4,2921.6000000000004,85.0,60.24,576.0,400.8,403.2,168.0,167.0,554.4000000000003,6.300000000000004,33.2,240.0,1
88.0,2.0,2948.0,89.0,21.8,440.0,336.0,338.0,169.0,168.0,501.5999999999999,5.699999999999999,33.5,220.0,1
88.0,0.5,2560.8,89.0,10.45,115.0,84.5,85.0,170.0,169.0,220.0,2.5,29.1,230.0,1
83.0,0.5,2747.3,80.0,13.95,110.0,85.0,85.5,171.0,170.0,498.0,6.0,33.1,220.0,1
78.0,2.1,2628.6000000000004,89.0,19.32,462.0,359.1,361.2,172.0,171.0,592.8000000000001,7.600000000000001,33.7,220.0,1
44.0,10.1,1548.8000000000002,78.0,125.24,2424.0,1737.2,1747.3,173.0,172.0,294.8000000000001,6.700000000000003,35.2,240.0,1
86.0,1.0,2717.6,86.0,31.2,80.0,173.0,174.0,174.0,173.0,369.80000000000007,4.300000000000001,31.6,80.0,1
47.0,9.1,1466.4,78.0,156.51999999999998,1820.0,1583.4,1592.5,175.0,174.0,235.0,5.0,31.2,200.0,0
72.0,7.1,2361.6,79.0,215.13,1562.0,1242.5,1249.6,176.0,175.0,345.5999999999998,4.799999999999997,32.8,220.0,0
87.0,0.2,2862.2999999999997,91.0,5.260000000000001,46.0,35.2,35.4,177.0,176.0,478.5,5.5,32.9,230.0,1
84.0,6.4,2688.0,82.0,108.16,1472.0,1132.8,1139.2,178.0,177.0,378.0,4.5,32.0,230.0,1
84.0,1.3,2570.4,82.0,18.85,260.0,231.4,232.7,179.0,178.0,327.6000000000002,3.900000000000002,30.6,200.0,1
88.0,1.2,2745.6,80.0,31.679999999999996,228.0,214.8,216.0,180.0,179.0,448.79999999999984,5.099999999999998,31.2,190.0,1
88.0,0.5,2552.0,84.0,9.9,95.0,90.0,90.5,181.0,180.0,193.5999999999999,2.1999999999999993,29.0,190.0,1
84.0,4.4,2612.4,84.0,72.60000000000001,836.0000000000001,796.4000000000001,800.8000000000001,182.0,181.0,369.6000000000002,4.400000000000002,31.1,190.0,1
88.0,0.3,2666.4,79.0,4.35,69.0,54.6,54.9,183.0,182.0,308.0,3.5,30.3,230.0,1
78.0,4.4,2433.6,79.0,71.72000000000001,968.0,805.2,809.6,184.0,183.0,343.1999999999999,4.399999999999999,31.2,220.0,1
84.0,2.0,2587.2000000000003,81.0,23.8,440.0,368.0,370.0,185.0,184.0,361.2000000000001,4.300000000000001,30.8,220.0,1
72.0,7.7,2304.0,77.0,77.0,1694.0,1424.5,1432.2,186.0,185.0,259.2000000000001,3.6000000000000014,32.0,220.0,1
82.0,2.2,2599.4,86.0,44.0,484.00000000000006,409.2000000000001,411.4,187.0,186.0,393.6000000000001,4.800000000000001,31.7,220.0,1
83.0,3.0,2589.6,87.0,42.900000000000006,660.0,561.0,564.0,188.0,187.0,365.1999999999999,4.399999999999999,31.2,220.0,1
69.0,0.4,2277.0,84.0,5.720000000000001,88.0,75.2,75.60000000000001,189.0,188.0,317.4000000000001,4.600000000000001,33.0,220.0,0
51.0,6.9,1683.0,81.0,124.2,1518.0,1304.1,1311.0,190.0,189.0,249.89999999999992,4.899999999999999,33.0,220.0,1
67.0,7.0,2170.7999999999997,79.0,76.3,1540.0,1330.0,1337.0,191.0,190.0,294.7999999999999,4.399999999999999,32.4,220.0,1
88.0,3.0,2930.3999999999996,79.0,61.5,600.0,573.0,576.0,192.0,191.0,580.7999999999998,6.599999999999998,33.3,200.0,1
38.0,10.9,1254.0,76.0,172.22000000000003,2398.0,2092.8,2103.7000000000003,193.0,192.0,190.0,5.0,33.0,220.0,0
61.0,9.1,2067.9,84.0,78.25999999999999,1456.0,1756.3,1765.4,194.0,193.0,359.8999999999999,5.899999999999999,33.9,160.0,1
40.0,11.2,1300.0,75.0,77.28,3024.0,2172.7999999999997,2184.0,195.0,194.0,167.99999999999997,4.199999999999999,32.5,270.0,0
41.0,8.3,1398.1,78.0,112.88,83.0,1618.5000000000002,1626.8000000000002,196.0,195.0,246.0,6.0,34.1,10.0,0
47.0,8.2,1565.1,81.0,104.96,1804.0,1607.1999999999998,1615.4,197.0,196.0,328.99999999999983,6.9999999999999964,33.3,220.0,1
61.0,10.0,1994.7000000000005,74.0,235.0,2000.0,1970.0,1980.0,198.0,197.0,268.40000000000015,4.400000000000002,32.7,200.0,0
78.0,5.5,2613.0,79.0,50.05,1265.0,1089.0,1094.5,199.0,198.0,374.4,4.800000000000001,33.5,230.0,0
38.0,11.1,1250.2,78.0,180.93,2553.0,2208.9,2220.0,200.0,199.0,178.59999999999997,4.699999999999999,32.9,230.0,1
78.0,9.1,2496.0,81.0,232.05,2093.0,1820.0,1829.1,201.0,200.0,280.8000000000001,3.6000000000000014,32.0,230.0,1
